time,weathercode (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2/18/2020,1,22,22,25.14,0,0,0,14.8,34.9,94,5.97
2/19/2020,1,22.5,23,24.39,0,0,0,15.5,29.2,97,5.63
2/20/2020,0,22,22.1,25.55,0,0,0,15.4,31.3,98,5.97
2/21/2020,2,22.3,22.8,25.47,0,0,0,15.6,28.8,105,5.84
2/22/2020,3,22.6,23.8,24.66,0,0,0,15.7,29.5,97,5.56
2/23/2020,3,23,23.9,24.09,0,0,0,15.8,29.2,104,5.41
2/24/2020,3,23.3,24,24.46,0,0,0,15.1,29.2,113,5.38
2/25/2020,2,23.9,25.2,24.44,0,0,0,13.8,25.6,124,5.39
2/26/2020,2,24.2,25.8,21.24,0,0,0,13.8,30.2,108,4.93
2/27/2020,2,24.2,25.4,20.38,0,0,0,17.7,31.7,98,4.99
2/28/2020,3,23.6,24.9,22.74,0,0,0,18.2,36,105,5.25
2/29/2020,3,24,25.5,23.91,0,0,0,19.6,37.8,107,5.53
3/1/2020,2,23.9,25.7,22.03,0,0,0,18,37.1,111,5.17
3/2/2020,3,23.2,25.9,17.43,0,0,0,14.7,29.2,142,3.8
3/3/2020,2,24.6,27.2,20.79,0,0,0,8.4,23.8,157,4.27
3/4/2020,51,25,27.2,20.22,0.5,0.5,3,11,26.3,305,4.53
3/5/2020,51,24.6,27.3,20.9,0.2,0.2,2,13.3,27.7,169,4.74
3/6/2020,51,24.4,27.3,19,0.7,0.7,4,13.5,31.7,193,4.33
3/7/2020,51,24.3,27.8,19.81,0.8,0.8,5,11.5,31,164,4.36
3/8/2020,2,24.9,28.2,20.41,0,0,0,13.4,25.9,140,4.81
3/9/2020,51,24.8,27.9,19.84,0.1,0.1,1,12.2,25.2,139,4.47
3/10/2020,1,25.5,27.9,22.51,0,0,0,12.7,23.4,136,5.24
3/11/2020,1,25.8,27.2,25.01,0,0,0,12.8,27.7,158,6.13
3/12/2020,1,25.7,26.9,24.48,0,0,0,14.8,27.4,159,5.86
3/13/2020,1,25.5,26.5,26.29,0,0,0,15.8,31,129,6.44
3/14/2020,1,25.3,26.5,26.4,0,0,0,15.1,27,117,6.18
3/15/2020,2,25.4,26.9,26.12,0,0,0,16,30.2,107,6.35
3/16/2020,2,25.4,27.1,25.99,0,0,0,15.8,29.9,121,6.11
3/17/2020,1,25.3,26.3,26.55,0,0,0,17.3,40.7,124,6.72
3/18/2020,1,25.7,26.2,27.04,0,0,0,14.8,34.6,126,6.92
3/19/2020,1,26.3,27.6,26.16,0,0,0,13.4,23.8,156,6.21
3/20/2020,55,25.1,27.4,21.86,1.9,1.9,5,10.7,28.8,190,5.08
3/21/2020,1,26.4,28.3,25.3,0,0,0,12.8,25.2,245,5.67
3/22/2020,51,25.5,28,21.09,0.2,0.2,2,10.9,26.6,164,4.76
3/23/2020,63,24.6,27.7,20.86,5.9,5.9,5,11.6,26.3,145,4.56
3/24/2020,1,25.9,28.2,24.41,0,0,0,15.8,27,115,5.86
3/25/2020,1,25.4,27,26.45,0,0,0,14.2,27.7,124,6.3
3/26/2020,1,25.4,27,26.4,0,0,0,15.3,32,106,6.49
3/27/2020,1,25.1,26.2,27.08,0,0,0,14.2,28.1,112,6.48
3/28/2020,0,25.2,25.5,27.7,0,0,0,13.4,32.4,102,6.93
3/29/2020,0,25.7,26.1,27.59,0,0,0,13.7,31.3,108,7.12
3/30/2020,1,26,26.9,27.36,0,0,0,15.5,35.3,107,7.26
3/31/2020,1,26.1,26.5,27.72,0,0,0,15.3,34.6,108,7.3
4/1/2020,0,26.9,27.4,27.82,0,0,0,14.7,35.6,108,7.44
4/2/2020,1,27.2,28.5,26.79,0,0,0,15.3,31.3,129,7.1
4/3/2020,1,27.1,28.7,27.2,0,0,0,15,28.8,132,7.06
4/4/2020,0,26.8,28.5,27.55,0,0,0,16.1,28.1,137,6.83
4/5/2020,2,27.1,29.6,25.25,0,0,0,15.3,29.5,144,5.94
4/6/2020,55,26.7,29.6,21.61,3.1,3.1,5,12.6,28.8,210,5.13
4/7/2020,63,25.1,28.1,20.54,11.5,11.5,6,7.9,25.2,248,4.3
4/8/2020,61,24.4,28.4,19.45,10.9,10.9,8,11.2,25.2,329,4.21
4/9/2020,61,24.9,27.6,22.74,1.6,1.6,2,11.2,25.9,113,4.91
4/10/2020,51,25.4,27,23.57,0.3,0.3,1,10.6,27.4,136,5.24
4/11/2020,0,25.6,27.6,26.43,0,0,0,10.5,27,120,6.08
4/12/2020,1,25.8,27.7,24.3,0,0,0,12.6,28.4,105,6
4/13/2020,0,26.3,27.2,27.71,0,0,0,12.6,29.2,92,6.96
4/14/2020,0,26,26.1,28.44,0,0,0,17,37.8,96,7.49
4/15/2020,0,26,27.1,27.98,0,0,0,12.9,22.7,115,6.77
4/16/2020,1,26.9,28.6,26.03,0,0,0,12.2,24.8,131,6.29
4/17/2020,0,27.5,29.1,25.08,0,0,0,11.3,29.2,127,6.39
4/18/2020,1,27.4,29.4,23.75,0,0,0,11.9,31.3,126,5.85
4/19/2020,0,27.2,29,24.02,0,0,0,13.7,28.4,118,6.1
4/20/2020,1,27,29.1,26.4,0,0,0,13.6,31.7,119,6.54
